Symbol,name,Name,Sector,industry,Summary Quote
GEOS,geospace technologies corporation,Geospace Technologies Corporation,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/geos
GABC,"german american bancorp, inc.","German American Bancorp, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/gabc
GERN,geron corporation,Geron Corporation,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gern
GEVO,"gevo, inc.","Gevo, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gevo
ROCK,"gibraltar industries, inc.","Gibraltar Industries, Inc.",Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/rock
GIGM,gigamedia limited,GigaMedia Limited,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/gigm
GIGA,giga-tronics incorporated,Giga-tronics Incorporated,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/giga
GIII,"g-iii apparel group, ltd.","G-III Apparel Group, LTD.",Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/giii
GILT,gilat satellite networks ltd.,Gilat Satellite Networks Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/gilt
GILD,"gilead sciences, inc.","Gilead Sciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild
GBCI,"glacier bancorp, inc.","Glacier Bancorp, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/gbci
GLAD,gladstone capital corporation,Gladstone Capital Corporation,n/a,n/a,http://www.nasdaq.com/symbol/glad
